GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.mobile-app-ws,com.developer.app.ws.ui.model.request,UserDetailsRequestModel,4,34,0,0,0,7,1,10,1,10
com.mobile-app-ws,com.developer.app.ws.ui.model.request,AddressRequestModel,20,18,0,0,1,6,5,6,5,6
com.mobile-app-ws,com.developer.app.ws.ui.model.request,UserLoginRequestModel,0,17,0,0,0,4,0,5,0,5
com.mobile-app-ws,com.developer.app.ws.security,AuthenticationFilter,60,27,0,0,13,5,1,2,1,2
com.mobile-app-ws,com.developer.app.ws.security,WebSecurity,0,101,0,0,0,20,0,4,0,4
com.mobile-app-ws,com.developer.app.ws.security,AuthorizationFilter,79,4,8,0,22,2,6,1,2,1
com.mobile-app-ws,com.developer.app.ws.security,SecurityConstants,3,8,0,0,1,2,1,1,1,1
com.mobile-app-ws,com.developer.app.ws.service.impl,UserServiceImpl,12,231,3,15,1,52,3,14,0,8
com.mobile-app-ws,com.developer.app.ws.service.impl,AddressServiceImpl,2,63,2,4,0,15,2,4,0,3
com.mobile-app-ws,com.developer.app.ws.shared.dto,UserDto,0,70,0,0,0,11,0,19,0,19
com.mobile-app-ws,com.developer.app.ws.shared.dto,AddressDTO,0,59,0,0,0,10,0,17,0,17
com.mobile-app-ws,com.developer.app.ws.io.entity,UserEntity,3,63,0,0,1,10,1,18,1,18
com.mobile-app-ws,com.developer.app.ws.io.entity,AddressEntity,0,59,0,0,0,10,0,17,0,17
com.mobile-app-ws,com.developer.app.ws.ui.model.response,OperationStatusModel,3,14,0,0,1,3,1,4,1,4
com.mobile-app-ws,com.developer.app.ws.ui.model.response,RequestOperationStatus,0,15,0,0,0,2,0,1,0,1
com.mobile-app-ws,com.developer.app.ws.ui.model.response,UserRest,0,38,0,0,0,7,0,11,0,11
com.mobile-app-ws,com.developer.app.ws.ui.model.response,AddressesRest,0,45,0,0,0,8,0,13,0,13
com.mobile-app-ws,com.developer.app.ws.ui.model.response,ErrorMessages,4,70,0,0,2,13,1,3,1,3
com.mobile-app-ws,com.developer.app.ws.ui.model.response,ErrorMessage,16,27,0,0,1,5,4,5,4,5
com.mobile-app-ws,com.developer.app.ws.shared,Utils,0,52,0,2,0,11,0,5,0,4
com.mobile-app-ws,com.developer.app.ws,MobileAppWsApplication,5,11,0,0,2,3,1,3,1,3
com.mobile-app-ws,com.developer.app.ws,SpringApplicationContext,0,10,0,0,0,4,0,3,0,3
com.mobile-app-ws,com.developer.app.ws.ui.controller,RequestOperationName,0,9,0,0,0,2,0,1,0,1
com.mobile-app-ws,com.developer.app.ws.ui.controller,UserController,5,220,3,5,0,48,3,9,0,8
com.mobile-app-ws,com.developer.app.ws.ui.controller,UserController.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
com.mobile-app-ws,com.developer.app.ws.exceptions,UserServiceException,0,4,0,0,0,2,0,1,0,1
com.mobile-app-ws,com.developer.app.ws.exceptions,AppExceptionsHandler,0,57,0,0,0,7,0,4,0,4
